indice_tiempo,ipc_2016_nivel_general,ipc_2016_alimentos_bebidas,ipc_2016_bebidas_alcoholicas,ipc_2016_indumentaria,ipc_2016_vivienda,ipc_2016_equipamiento_del_hogar,ipc_2016_atencion_medica_salud,ipc_2016_transporte,ipc_2016_informacion_comunicacion,ipc_2016_recreacion_cultura,ipc_2016_educacion,ipc_2016_restauranes_hoteles,ipc_2016_bienes_servicios_varios
2016-04-01,85.5254,86.4212,63.6371,88.575,86.3791,85.3232,81.525,90.5398,80.0773,89.2969,88.8901,82.5578,86.5057
2016-05-01,89.1118,89.9991,82.4693,90.5764,90.8834,87.7981,82.9161,96.0543,82.0829,91.3072,91.9974,84.3768,88.6513
2016-06-01,91.8528,92.8351,84.325,90.8905,97.305,91.9257,88.6965,96.7934,84.0739,91.7896,93.9262,86.8693,89.8747
2016-07-01,93.7328,95.1422,86.2302,90.2628,98.1246,94.1324,90.5779,97.651,87.8567,95.7578,96.1933,89.7079,91.6354
2016-08-01,93.9221,95.2368,88.7153,90.9888,92.6253,94.8352,93.3781,97.7657,90.6632,96.3118,97.838,90.5638,92.5606
2016-09-01,95.0014,97.3853,92.3307,95.3605,87.6714,95.191,94.4068,98.5274,91.5041,97.6783,98.0276,92.2985,94.9263
2016-10-01,97.2428,98.5102,94.2334,98.7205,97.0615,95.6143,97.6188,98.678,90.7212,98.1813,99.0132,94.1914,96.9199
2016-11-01,98.8166,99.75,97.8577,99.9637,98.5085,98.092,99.1622,99.2062,94.5213,99.1563,99.5182,96.9479,98.655
2016-12-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2017-01-01,101.313,101.3069,100.5008,97.8719,99.9812,100.8651,101.3559,101.7583,103.8174,103.243,100.4869,103.2868,102.117
2017-02-01,103.8085,103.1646,105.4806,97.4253,108.4042,101.2178,104.6961,103.5441,108.0484,103.3096,104.936,105.1373,104.1416
2017-03-01,106.2627,106.7878,107.1121,102.0665,110.7756,102.1399,106.6572,104.5685,110.6652,104.8017,111.9338,106.1813,105.5869
2017-04-01,109.0613,109.2144,109.5812,107.2381,115.889,103.1802,108.1913,105.0876,118.2386,108.3531,116.2786,108.3494,107.5817
2017-05-01,110.4607,110.3615,111.639,107.9072,118.0458,106.2886,109.7879,106.2149,118.1821,109.3191,118.5362,109.4833,109.0808
2017-06-01,111.9943,111.7923,112.1628,108.5621,120.9192,107.7485,111.1892,106.5466,120.4465,112.5701,119.4016,111.3293,110.1832
2017-07-01,113.9199,113.1579,115.9318,106.5553,123.9173,110.4314,114.9895,108.0683,121.0689,116.1042,120.2404,114.0646,111.7819
2017-08-01,115.6031,115.6549,117.4477,105.6182,127.1644,111.5098,118.3191,109.2582,123.3833,116.1082,121.9879,115.0985,113.4518
2017-09-01,117.9656,117.8695,118.2786,111.8326,128.2415,112.5568,121.1943,110.258,124.5391,120.017,128.2949,116.4971,115.5821
2017-10-01,119.4985,119.695,122.1014,113.6026,128.9128,113.4367,122.1487,111.165,130.4597,120.605,129.2551,118.4669,117.3347
2017-11-01,120.8941,120.909,123.4181,114.8528,130.1608,114.2362,123.5655,114.133,131.1853,120.7139,129.7823,120.4916,118.7033
2017-12-01,125.0392,121.5528,124.1072,115.6853,154.7145,117.6715,127.1571,117.4772,134.1889,121.4988,129.748,122.6855,119.6537
2018-01-01,127.0147,124.7282,126.72,113.6271,152.2688,119.0239,129.5154,119.9686,136.6736,126.2139,129.8915,126.6387,123.6102
2018-02-01,130.2913,127.7802,128.8967,112.9568,159.7757,121.135,133.0564,125.3874,147.1762,126.5606,131.8309,128.916,125.3827
2018-03-01,133.5028,130.2899,129.7445,120.665,161.3686,126.9603,134.3951,127.0591,150.5486,128.1069,151.1936,130.7344,128.3929
2018-04-01,136.938,131.3352,131.1986,124.603,172.2109,128.378,136.3736,133.7633,151.5764,130.8525,152.0724,133.5964,130.1922
2018-05-01,139.58,136.169,133.0263,126.7286,170.0052,131.3665,139.4698,136.4371,157.0028,133.4245,152.5495,136.359,132.2034
2018-06-01,145.0582,142.6321,134.4741,129.4344,176.5691,136.5173,146.1936,145.3092,157.3577,138.5918,154.778,140.6163,135.9377
2018-07-01,149.1178,148.2702,138.0029,128.5779,176.5774,142.4208,149.7694,151.5932,158.0181,145.2476,158.2487,144.8046,141.7807
2018-08-01,155.1747,153.4382,139.4902,129.5497,191.835,146.89,157.345,156.6031,182.2124,147.2747,161.3912,148.3622,149.6257
2018-09-01,165.4903,164.5645,145.5596,146.5657,193.24,161.5882,164.1223,173.2611,184.712,159.1452,165.0215,157.6511,160.8222
2018-10-01,173.8549,174.56,149.2238,153.6809,206.9187,167.8866,173.6915,185.6149,185.1122,162.6265,169.7671,161.7351,170.4386
2018-11-01,178.877,180.0567,156.5632,156.2891,208.9736,173.9992,179.6549,191.1071,193.5709,169.4774,171.616,166.2958,176.4477
2018-12-01,183.9381,182.9765,158.6651,156.8619,218.8376,176.638,190.5132,197.0384,206.5853,173.7047,175.1903,170.1262,182.4813
2019-01-01,189.1236,189.9154,164.645,155.5131,221.858,181.3132,194.6462,203.4532,223.5279,179.1848,175.7777,175.7302,189.548
2019-02-01,196.3597,200.3367,168.4551,157.0732,237.6627,185.7125,201.7245,208.7417,226.7862,183.6484,179.2309,182.0486,193.9828
2019-03-01,205.7679,212.0319,175.4443,170.2354,246.3054,193.4887,207.4407,217.7008,236.2025,185.2328,210.87,189.6348,200.4224
2019-04-01,212.4469,216.2942,177.3908,180.8128,254.7437,202.1052,213.8031,226.1383,243.883,191.4187,213.02,197.2612,205.7455
2019-05-01,218.8793,221.9977,181.1723,185.3862,263.5952,208.7736,225.6527,232.7179,246.7191,196.6069,224.273,201.3577,210.9243
2019-06-01,224.6105,227.9555,186.2069,187.7146,270.5535,215.6745,231.8228,237.3329,266.2708,202.8122,228.9437,205.682,214.0628
2019-07-01,229.4286,233.6669,188.3557,187.6964,276.9197,220.6806,240.7959,237.3299,266.7107,211.161,234.0668,211.426,220.5043
2019-08-01,238.3069,243.7857,196.6496,193.4764,281.3647,234.5388,253.7682,247.2147,270.3128,222.3902,238.4995,218.1493,229.5674
2019-09-01,252.1482,257.577,208.2246,216.0233,285.7905,252.4058,272.9536,258.2652,288.495,239.5231,240.667,229.7003,248.064
2019-10-01,260.2101,263.9796,221.6366,225.8875,291.3924,274.3482,285.3789,264.6173,288.7268,244.9917,243.7719,235.7793,257.2619
