indice_tiempo,IPC oficial publicado,IPC promedio (canasta 2017/18 overall),Obreros formales (sec.),Asalariados informales jóvenes,Trabajadores mayores con primario,Profesionales asalariadas,Cuentapropistas y patrones
2017-01-01,100.0,99.9760649079199,99.99999999999996,99.99999999999993,99.99999999999997,99.99999999999993,99.99999999999994
2017-02-01,102.46315872592855,102.87561675258335,102.85331551340498,102.86813028557327,102.8304053523233,102.88607654003452,102.80879309925646
2017-03-01,104.88555269313909,105.37657947566625,105.37884805400176,105.43180846646334,105.36974984437904,105.33835357535314,105.28560407766642
2017-04-01,107.64788329237116,108.46661811332834,108.52199790480758,108.5420864631379,108.43700865406136,108.44450759959166,108.27789286184316
2017-05-01,109.02914729600349,109.81779720440815,109.83448470708527,109.87769561952146,109.75787550692786,109.81239990811127,109.62172609895534
2017-06-01,110.54287208946532,111.4586180444348,111.45919427499868,111.50547493041374,111.37039914991347,111.44651004125215,111.21981510229813
2017-07-01,112.44351662669155,113.30529403403074,113.2194290861361,113.27819176867264,113.16574930202572,113.29535002204474,113.0704647971454
2017-08-01,114.10490262848796,115.14271726094455,114.99067105410049,115.11653102094074,115.01186013777128,115.02101051695134,114.89501464969094
2017-09-01,116.43678501278217,117.31862771273555,117.19631628389727,117.29049075351473,117.16184620682881,117.26786759238645,117.0667852974946
2017-10-01,117.94981887813016,118.90150427285145,118.80740172268898,118.90620760291361,118.79926144879514,118.80392804985618,118.64499754936035
2017-11-01,119.32733212914432,120.22833717073023,120.15441422194603,120.23404659783412,120.1341859240077,120.14823479947815,120.00014612533579
2017-12-01,123.41871230740378,125.7060906237631,125.55132598491633,125.62031626459591,125.31338822933405,125.66141496160911,125.1317961753993
2018-01-01,125.36861014874697,127.41847243465116,127.24132665704467,127.32983704007802,127.0976428507061,127.32596293784862,126.93285126745441
2018-02-01,128.60274594573252,131.273856554587,131.10724353937326,131.15039810959766,130.92695503859326,131.12789827265954,130.74218257891275
2018-03-01,131.77262542812866,134.1900798928661,134.06960125699646,134.04785859612196,133.70745201999028,134.35799341086243,133.64953453044342
2018-04-01,135.1633057949128,138.0399097348456,137.99179542400432,137.8457785578074,137.43378437924525,138.35102832629272,137.4081084143371
2018-05-01,137.77106590467167,140.51647024056786,140.47201531167752,140.38999229815025,140.05678617018708,140.64554161442004,139.96329616984477
2018-06-01,143.17826932377878,146.02517793274376,145.95296027627268,145.89558897794132,145.59260781997617,146.04706726290203,145.52001687457462
2018-07-01,147.18525756813042,149.81996743389533,149.71181029467203,149.69154971102782,149.45422750952673,149.80079140184296,149.42164344332178
2018-08-01,153.16366112937135,157.1603916836902,157.01219710393224,156.95404460261878,156.6657537466644,157.03425004949455,156.5656388036849
2018-09-01,163.34557263135036,166.70066734466386,166.71752281863039,166.59948954048048,166.37722260751792,166.60270403883047,166.29695443330272
2018-10-01,171.6017687759715,175.44494476738544,175.4239384873278,175.41406583705236,175.16760474355937,175.1311140716548,175.0276758978836
