trimestre,class_0,class_1,class_2,class_3,class_4,IPC_oficial
2017Q1,100.0,100.0,99.99999999999999,100.00000000000001,99.99999999999999,100.0
2017Q2,106.94488174883602,106.78566625754246,106.88447618644253,107.07032580637143,106.89654239200027,106.46535694489316
2017Q3,111.97687647699503,111.93292364034528,112.01615443501902,112.17070919214159,111.99694257894745,111.59480795750073
2017Q4,118.12237984533301,117.9805589409193,118.13834017161365,118.36371659716355,118.09529040870864,117.35720694884328
2018Q1,127.07106476318539,126.85315308126394,127.21587097499159,127.3440294880939,126.94162854848086,125.5069460814004
2018Q2,137.41006598339627,137.07379085599376,137.65361258024106,137.59536376655146,137.08883319424282,135.38779424261088
2018Q3,153.34630273553694,153.12678727327494,153.41456653128284,153.4518645333986,153.13941929118906,150.86918347173685
2018Q4,175.419451146844,175.2643295468884,175.2611969307996,175.43410499163411,175.29321785906447,172.34978524921945
2019Q1,194.01847467150142,193.89421361403626,193.57237803885502,194.14178073830797,194.0683772290564,189.87835606302443
2019Q2,215.10713477336967,214.9231143193006,214.75808306310216,215.28216507626715,215.016362526147,210.65188920953602
2019Q3,235.12729971754223,235.33185960535522,234.7897640861255,235.4431727959255,235.3315177038962,231.1882555376927
2019Q4,263.3797719578965,264.1702727241551,262.9499768898572,263.7028776910304,264.0117930375199,260.8319561493486
2020Q1,285.93672833663317,286.5630546815929,284.8499096858723,286.38383531723,286.8037372654767,282.75541918954144
2020Q2,303.1085818774808,303.516658434006,301.59338753834965,303.6300396371453,303.99441892171075,300.2742592591403
2020Q3,321.66578147066315,322.1102984566739,319.98055625264453,322.1407782945835,322.65621299366006,319.6298334982957
2020Q4,351.96894456354374,352.59565320834514,349.6303087782315,352.4331083133797,353.3409035920205,351.2166641724275
2021Q1,390.5426904356762,391.32627602390176,387.86892070117324,390.4603732058495,391.9301615950479,390.9590467339063
2021Q2,437.4120383813995,438.3606928668377,434.6302011531397,437.0540859385616,438.7107861755353,439.7991612933476
2021Q3,477.3328818510837,478.7624295703493,474.7232536291823,476.92941773795445,478.8554789771385,481.81095893754406
2021Q4,523.6119703523119,525.3194371134822,521.0638069562154,522.8102376822337,525.0321201837846,531.8984392913962
2022Q1,592.3092778079508,594.1157866239132,587.692550628564,592.1027256543423,594.7842864893364,602.4041682269044
2022Q2,696.5897785996185,698.4312454984403,690.8167260095407,696.7799136751079,699.3592562837688,711.6169670779699
2022Q3,832.9853366704348,835.7500302455777,827.361508306483,833.3997218779859,836.3199946621944,857.9189310183368
2022Q4,993.0516604254428,995.1358428844987,985.7863664532404,993.9157836468795,996.594816586918,1021.2997319709865
2023Q1,1189.4666673684324,1192.2797112769817,1178.2859007211857,1192.3101653691574,1196.0093605798434,1220.1844859180396
2023Q2,1486.9343488652003,1489.2011946750824,1471.3193917409935,1492.2505975109223,1495.1406581707295,1526.329402712148
2023Q3,1885.0435876966408,1891.9627927947597,1868.2281902040013,1892.2427384137968,1897.1950374276325,1943.4877877554484
2023Q4,2692.389036212409,2706.664641529566,2653.2136839783384,2709.2458938179348,2721.904957473116,2783.584587785764
2024Q1,4428.997078634256,4471.450811959374,4363.407040569302,4441.543857476586,4487.440616183699,4554.044167944296
2024Q2,5752.215835582227,5783.68360331506,5684.38941407509,5768.943073027814,5802.98220079292,5818.23001937799
2024Q3,6490.584864369744,6524.54572620594,6435.656659361197,6505.312521790492,6536.30802894244,6567.37371388786
2024Q4,7110.851679284508,7141.821563867888,7076.931238241189,7118.078217078037,7141.5590390886955,7199.8660818371645
2025Q1,7666.211770196718,7699.730253523508,7635.61275200039,7680.284343231123,7699.534723047665,7759.321089509359
2025Q2,8267.233591650993,8300.061390985979,8235.253198479537,8291.0965342038,8302.047521092241,8373.619823998779
2025Q3,8749.631043929334,8786.43843382235,8733.597461426449,8764.040781994567,8777.191502087253,8857.106783195808
2025Q4,9402.271580985238,9437.949432959887,9382.999578539608,9412.620870526209,9428.397635598505,9492.784187508552
2026Q1,10241.110710348203,10281.504969037494,10203.372341552184,10265.710467625631,10282.763544251175,10307.194713155004
