indice_tiempo,IPC oficial publicado,IPC promedio (canasta 2017/18 overall),Obreros formales (sec.),Asalariados informales jóvenes,Trabajadores mayores con primario,Profesionales asalariadas,Cuentapropistas y patrones
2017-01-01,100.0,99.97606490791989,99.99999999999997,99.99999999999994,99.99999999999994,99.99999999999993,99.99999999999994
2017-02-01,102.46315872592855,102.87561675258337,102.85331551340498,102.86813028557327,102.83040535232328,102.88607654003451,102.80879309925646
2017-03-01,104.88555269313909,105.37657947566625,105.37884805400178,105.43180846646334,105.36974984437906,105.33835357535312,105.28560407766645
2017-04-01,107.64788329237116,108.46661811332834,108.52199790480756,108.54208646313792,108.43700865406137,108.44450759959165,108.27789286184317
2017-05-01,109.02914729600349,109.81779720440815,109.83448470708528,109.87769561952143,109.75787550692787,109.81239990811127,109.62172609895535
2017-06-01,110.54287208946532,111.4586180444348,111.4591942749987,111.50547493041374,111.37039914991347,111.44651004125217,111.21981510229811
2017-07-01,112.44351662669155,113.30529403403075,113.2194290861361,113.27819176867266,113.16574930202569,113.29535002204474,113.07046479714542
2017-08-01,114.10490262848796,115.14271726094456,114.99067105410049,115.11653102094076,115.01186013777128,115.02101051695134,114.89501464969095
2017-09-01,116.43678501278217,117.31862771273555,117.19631628389729,117.29049075351473,117.1618462068288,117.26786759238645,117.06678529749462
2017-10-01,117.94981887813016,118.90150427285144,118.80740172268898,118.90620760291361,118.79926144879514,118.80392804985618,118.64499754936037
2017-11-01,119.32733212914432,120.22833717073024,120.15441422194604,120.23404659783412,120.13418592400771,120.14823479947816,120.00014612533579
2017-12-01,123.41871230740378,125.70609062376309,125.55132598491632,125.62031626459591,125.31338822933407,125.6614149616091,125.1317961753993
2018-01-01,125.36861014874697,127.41847243465116,127.24132665704467,127.32983704007799,127.09764285070608,127.32596293784863,126.93285126745441
2018-02-01,128.60274594573252,131.27385655458698,131.10724353937326,131.15039810959766,130.92695503859326,131.12789827265954,130.74218257891275
