trimestre,div_01,div_02,div_03,div_04,div_05,div_06,div_07,div_08,div_09,div_10,div_11,div_12,nivel_general
2017Q1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2017Q2,106.46049772649364,106.48033255241643,108.8590840105904,111.18338393475393,104.27137610987738,105.26342045581008,102.57468513500301,110.64586039791524,106.06640088156804,111.61459644620706,104.62693901630425,104.81013835376811,106.46535694489316
2017Q3,111.3805434889817,112.31727902367821,108.95953339294606,118.85011013250364,109.9516538536888,113.36503690969117,105.71644513892721,114.40490991563601,113.12816299630359,116.75291556787674,109.87103209290116,109.2899528773062,111.59480795750073
2017Q4,116.35212184824677,118.05633141537592,115.73056832424402,129.6487039456575,113.51693561429322,119.23899264876121,110.61871250252928,122.72739674635925,116.5288868661843,122.50738679851409,114.95161875797429,114.06023174937587,117.35720694884328
2018Q1,122.9837309278791,123.08182699417264,116.77582031700572,148.33049777385082,120.67445306531923,126.94442632324218,120.18395402730621,134.6842319032899,122.33054112308712,130.11100758231984,122.78527323434369,121.01691382431363,125.5069460814004
2018Q2,131.76676166784412,127.34183239192124,128.04723643134653,162.54655174034423,130.25381398106913,134.96149137921108,134.09119733411558,144.46267180519084,129.39239959107678,144.7582168581914,130.50370400508064,127.73418247176886,135.38779424261088
2018Q3,149.8020782029645,135.12024363329164,136.09371285062704,175.97776670708515,148.21341464216357,150.6948628310264,155.37354427279234,162.7572233366715,145.06544473610933,152.71818745279361,143.29630069922516,145.0168753437199,150.86918347173685
2018Q4,172.71554617002607,148.3429390900801,156.9902109773318,198.8745178765576,170.4421233385532,173.91864390302553,185.1611106431743,181.46113086804056,162.45434863112538,162.77374953798042,158.34346772178736,169.7531630246388,172.34978524921945
2019Q1,193.49911793800217,162.425729055378,162.36739723106757,221.1504851783269,184.24470486761675,193.0903855722825,203.27681624831504,212.85290406193508,176.0264753048216,178.3099584788977,174.00006484313363,187.25721551216867,189.87835606302443
2019Q2,214.048993877452,173.99594689765198,186.27478740680183,247.17694204492403,205.952117987212,214.66544636358637,224.6706935049403,234.66671420731652,189.76381569164133,209.93308160817148,192.08217659328162,202.25804124157634,210.65188920953602
